Abdominoplasty,[]
Ent Surgery,[]
Educational Psychology,[]
Endocrine Surgery,[]
Endodontics,"['Periondontal Care', 'Wisdom Tooth Extraction', 'Tooth Decay', 'Painful Teething', 'Widely Spaced Teeth', 'Broken Teeth', 'Invisible/Clear Braces', 'Bleeding Gums Treatment', 'Tooth Abscess', 'Cavities', 'Crowded Teeth', 'Tooth Impaction Surgery', 'Teeth Whitening', 'RCT - Single Sitting', 'Impaction / Impacted Tooth Extraction', 'Cosmetic/ Aesthetic Dentistry', 'Dental Braces Fixing', 'RCT - Root Canal Treatment', 'Teeth Straightening', 'Acrylic Partial Denture', 'Dental Fillings', 'Post and Core', 'Dental Implant', 'Oral Prophylaxis', 'Root Canal Treatment (RCT)', 'Scaling / Polishing', 'Impacted Tooth', 'Dental Cleaning', 'Crowns and Bridges Fixing', 'Dental Restoration', 'Dental Surgery', 'Consultation', 'Tooth Coloured Fillings', 'Laser Gum Surgery', 'Chipped Tooth', 'Teeth Reshaping', 'Dental Tartar', 'Veneers / Laminates', 'Loose Teeth', 'Jaw Ache', 'Implant Retained Dentures', 'Health Checkup (General)', 'Gum Disease Treatment/ Surgery', 'Ceramic Braces Fixing', 'Orthodontic Treatment', 'Re-Root Canal Treatment', 'Dental Checkup (General)', 'Toothache', 'Inlays and Onlays', 'Oral Rehabilitation', 'Artificial Teeth', 'Dental Implant Fixing', 'Dental Crowns', 'Dental Cavities', 'Aesthetic Dentistry', 'Rotten Teeth', 'Dental Examinations', 'Surgical Tooth Extraction', 'Soft Tissue Swelling of face and neck', 'Gum rejuvenation - Pinhole Surgical Technique']"
Environmental Toxicology,[]
Epidemiology,[]
Fertility,"['Bleeding During Pregnancy', 'Stomach Cramps', 'Pregnancy Tests', 'Caesarean Section (C Section)', 'Pregnancy Exercise', 'Vaginal Infection Treatment', 'Gynecologic Laparoscopy', 'Hysterectomy', 'High-Risk Pregnancy Care', 'Vaginal Itching', 'Polycystic Ovarian Syndrome', 'Fibrosarcoma', 'Nausea', 'Vaginitis', 'Hysterotomy', 'Ovarian Cysts', 'Cesarean Delivery', 'Pregnancy Check Up', 'Maternal Care/ Checkup', 'Health Checkup (General)', 'Cervical Cerclage', 'Breast Cancer Screening', 'Infertlity Treatment - Iui', 'Breast lumps', 'Vaginal Yeast Infection', 'Uterine Bleeding', 'Tubectomy/Tubal Ligation', 'Pre-Pregnancy Counselling', 'Pre Menstrual Syndrome', 'Artificial Insemination', 'Breast Problems', 'Pre and Post Delivery Care', 'PCOD', 'Complicated Pregnancy Treatment', 'Gynaecological Problem', 'Obstetrics / Antenatal Care', 'Female Infertility Treatment', 'Acne in Periods', 'Urinary Tract Infection', 'Pregnancy care and management', 'Laparoscopic Surgery (Obs & Gyn)', 'Pap Smear', 'Pregnancy Scan', 'Swelling in Breasts', 'Normal Vaginal Delivery (NVD)', 'PCOD/PCOS Treatment', 'Hormonal therapy', 'Menopause', 'Menstrual Disorders', 'Gynaecological Endoscopy', 'Laparoscopy Hysterectomy', 'PCOS', 'Hysteroscopic Myomectomy', 'Miscarriage', 'Vaginal Discharge', 'Gynae Problems', 'Labor and Delivery', 'Irregular Menses Treatment', 'Vaginal Dryness', 'Fibroid Removal', 'Fertilization', 'Family Planning', 'Heavy Periods', 'Fibroidectomy', 'Pregnant Women Counseling', 'Irregular Menstruation', 'Infertility in Women', 'Hysteroscopy', 'Mirena (Hormonal Iud)', 'Gynae advice', 'Child Birth Education', 'Breast Pain', 'Uterine Fibroids', 'Pregnancy', 'Fertility Treatment', 'Female Sexual Problems', 'Ovarian Cyst Removal', 'Vaginal Infection', 'Endometriosis Treatment', 'Breast Examination', 'Infertility Evaluation / Treatment', 'Abdominal Pain', 'Endometriosis', 'Reproduction', 'Lower Segment Caesarean Section (LSCS)', 'Abdominal Hysterectomy', 'Contraception Advice', 'Pregnancy with PCOD', 'Prenatal Checkup', 'Urinary Tract Infection (Uti)', 'Arthritis and Pain Management', 'Stomach Pain', 'Ovarian Tumors', 'Copper T Insertion', 'Premenstrual swelling in breasts', 'Termination of Pregnancy', 'Post Pregnancy Classes', 'Preconception Counseling', 'Menopause health problems', 'Hysterectomy (Abdominal/Vaginal)', 'Copper T Insertion & Removal', 'Medical Termination Of Pregnancy (Mtp)', 'Painful Periods', 'Advanced Laparoscopic Surgery', 'Menstrual Disorders in Adolescent Girls', 'Pregnant', 'Irregular Periods', 'HPV Vaccination', 'Myomectomy', 'White Discharge Problem', 'menopause advice', 'All Blood investigations for women\\men\\children', 'Obstetrics Problems', 'Other Gynaecological Conditions', 'Nutrition for Pregnant Women']"
Forensic Psychiatry,[]
Forensic Psychology,[]
General Endocrinology,[]
General Neurology,[]
General Pathology,[]
General Physician,"[' Age Spots', 'Thyroid Disorder Treatment', 'Sun Spots', 'Elephantiasis', 'Dengue Fever Treatment', 'Well Woman Healthcheck', 'Sugar Level', 'Sugar Level Check', 'Emergency Care', 'Blood Pressure Changes', 'Physcian', 'Type 1 Diabetes', 'Health Checkup (General)', 'Fever', 'Fever Treatment', 'Colds', 'Proctoscopy', 'Pneumonia', 'Allergic Diseases Treatment', 'Chest Pain', 'Allergy Treatment', 'Viral Fever Treatment', 'Pre and Post operative conditions', 'Numbness', 'Sinusitis', 'Stuffy Nose', 'Annual health checkup', 'Diabetes Treatment', 'Travel Vaccination and Consultation', 'managing acute medical conditions', 'Consultation', 'Dizziness', 'Thyroid Disorders', 'Diabetes Counselling', 'hba1c', 'Diet Counselling', 'Gastric troubles', 'Low Platelets', 'Body Weakness', 'Food Poisoning', 'Wheezing', 'backpain', 'Metabolic Illness', 'Fasting blood sugar', 'Diarrhoea', 'Acute Diarrhea Treatment', 'Body Ache', 'Dengue', 'Facial Pain', 'Type 2 Diabetes Treatment', 'Flu', 'Outpatient treatment', 'Diabetic Ulcer Treatment', ' And Other Pigmented Lesions', 'Vaccination/ Immunization', 'Diabetes Management', 'Cold Sores', 'health checkup general', 'Medications', 'Measles Treatment', 'Fractional Laser', 'Pigmented Skin', 'Insulin Treatment', 'Gastroenteritis Treatment', 'Chickenpox', 'Diabetes', 'Persistent Cough', 'Diabetes in Children', 'Anaemia & blood disorders', 'Laryngitis', 'Diabetes complications', 'Stomach pain and stomach upset', 'Muscle Cramps', 'kidney and gall bladder stones', 'Medical Advisor', 'Throat infection', 'Laser Hair Removal', 'Stomach Pain', 'Skin Rash Treatment', 'Type 1 Diabetes Treatment', 'Skin Conditions', 'Loose Motion', 'Tags', 'Men and Women Wellness Screening', 'High cholesterol', 'Bronchiectasis Treatment', 'Respiratory tract infection']"
General Surgery,"['Anorectal Surgery', 'Hernia Repair Surgery', 'Urethral Fistula Repair', 'Stomach Ulcer', 'Gastrointestinal Endoscopic Mucosal Resection', 'Fissure', 'Hernia Surgery', 'Endosurgery', 'Breast Surgery', 'Swelling', 'Skin Flap', 'Appendicitis', 'Intestinal Surgeries', 'Abdominal surgery', 'Pilonidal Sinus Surgery', 'treatment for pilondal sinus', 'Acidity', 'Laparoscopy', 'Anal fissure', 'Robotic Surgery', 'Laparoscopic Cholecystectomy', 'Gall Bladder Surgery', 'Vascular Laser Surgery', 'Laparoscopic Hernial Repair', 'day care general surgeries', 'Hemorrhoidectomy', 'hemorrhoid', 'Acidity Treatment', 'Gallbladder Surgery', 'Inguinal Hernia Repair', 'Laproscopic Appendicectomy', 'Stomach Pain', 'Biopsy', 'Rectal Prolapse Surgery', 'Varicocelectomy', 'Laser Fissure Surgery', 'Liver Surgery', 'Fistula Treatment', 'Haemorrhoidectomy', 'Umbillical Hernia', 'Cholecystectomy', 'Endoscopic Surgery', 'pilonidal sinus', 'Laparoscopic Varicocelectomy', 'Gastritis Treatment', 'Bariatric (Gastric Bypass) Surgery', 'Diabetic Foot Treatment/Surgery', 'ERCP', 'Cyst', 'Paraphimosis Reduction', 'Minimally Invasive Surgery', 'Fistulectomy', 'Pilonadel Sinus', 'Wound Dressing', 'Fistula Surgery', 'Thyroid Surgery', 'Varicose Veins Treatment', 'Anal Fissure Surgery', 'Cold', 'Laparoscopy Giagnóstica', 'Laser Piles Treatment', 'Lipoma Removal', 'Stomach Surgery', 'Acid Reflux', 'Appendicitis Treatment', 'Laser Fistula Treatment', 'Small surgical procedures', 'Laparoscopic Appendicectomy', 'Inguinal Herina Repair', 'Appendectomy', 'GERD', 'Piles Surgery', 'skin lump surgery', 'Frenuloplasty', 'Laparoscopic Gastrointestinal Surgery', 'Circumcision']"
Genetic,[]
Geriatric,[]
Geriatric Neurology,[]
Geriatric Ot,[]
Geriatric Physiotherapy,"[' Ankle', 'Hand Therapy', 'Back Pain Physiotherapy', 'intermittant and Continuous-Cervical ', 'Neck Pain Physiotherapy', 'Tennis Elbow Physiotherapy', 'Shoulder Pain', 'Lumbar Spondylosis Physiotherapy', 'Pain Management', 'Kneecap Pain', 'Carpal Tunnel Syndrome', 'Neck Pain', 'Knee Injuries', 'Knee Pain', 'spinal alignment', 'Soft Tissue Mobilization', ' Knee Injury', 'Heel Pain', 'Shoulder Injuries', 'Soft Tissue Injury Management', 'Ankle Sprain', 'Achilles Tendon Tear', 'Ultrasonic Physiotherapy', 'Sciatica Pain Treatment', ""Golfer's Elbow"", 'Pre and Post Operative Care', 'Hip', 'Post Surgery Physiotherapy/Rehabilitation', 'Tendonitis Physiotherapy', 'Knee Pain Physiotherapy', 'Frozen shoulder Physiotherapy', 'Learning Disability (Dyslexia) Treatment', 'Hand Pain', 'Physiotherapy for Osteoarthritis of Knee and Hip', 'Lower Back Pain', 'Cervical Problem', 'Foot Injuries', 'Musculoskeletal Injury Physiotherapy', 'Cervical Spondylosis Physiotherapy', 'Paralytic care', 'Electrical Stimulation', 'Leg Pain', 'ACL Surgery', 'Sports Injuries Rehabilitation', 'Pediatric Physiotherapy', 'Joint Pain', 'Carpal Tunnel Syndrome Physiotherapy', 'Lumber and Pelvic Traction', 'Neuro Physiotherapy', 'Back Pain', 'Hand And Wrist Injuries', 'Foot Care', 'Orthopaedic Physiotherapy', 'joint pains']"
Geriatric Psychiatry,"['Anxiety And Depression', 'Loneliness', 'Loss of Interest', 'Bipolar Disorder', 'Depression Treatment', 'Mental health', 'Mental Health Services', ' Strange Behavior', 'Alcohol De-addiction Treatment', 'Memory Improvement', 'Neuropsychological diagnosis', ' BIPOLAR', 'Difficulty Concentrating', 'Anger Management', 'Alcohol Addiction', 'Anxiety Disorders Treatment', 'Abnormal Behavior', ' Unusual', 'Assessment and treatment of problems related to grief and severe psychological trauma', 'Adult Counselling', 'Drug Abuse', 'Panic', 'Concentration Problems', 'Adjustment Disorder', ' MANIA', 'Unexplained Physical Symptoms', 'SCHIZOPHRENIA', 'Behaviour & Thought Problems', 'Sleep Disorder Treatment', ' DEPRESSION', 'Mania Treatment', 'Panic Disorder Treatment', 'Assessment and treatment of problems related to disturbing thoughts', 'Withdrawal Symptoms', 'Drug Abuse & DeAddiction Therapy', 'Bipolar Disorder Treatment', 'Schizophrenia Treatment', 'Patient Counselling', 'Schizophrenia', 'FITS/ EPILEPSY/ DISSOCIATIVE DISORDER', 'MENTAL RETARDATION/ BEHAVIORAL PROBLEMS', 'Post Traumatic Stress Disorder (PTSD)', 'Aggression and Violent Behaviour Management', 'Counselling and Psychotherapy', 'Abnormal', 'Psychiatric Counselling', 'Suicidal Behavior', 'Mood Disorders', ' OCD', 'Stress Management Counselling', ' ANXIETY', 'OCD Treatment', ' PANIC ATTACKS', 'Premarital Counseling']"
Gynecology,"['Stomach Cramps', 'Pregnancy Tests', 'Caesarean Section (C Section)', 'Pregnancy Exercise', 'Vaginal Infection Treatment', 'Gynecologic Laparoscopy', 'High-Risk Pregnancy Care', 'Vaginal Itching', 'Urine Infection', 'Nausea', 'Pregnancy Check Up', 'Maternal Care/ Checkup', 'Cervical Cerclage', 'Infertlity Treatment - Iui', 'Uterine Bleeding', 'Tubectomy/Tubal Ligation', 'Pre-Pregnancy Counselling', 'Pre Menstrual Syndrome', 'Bartholin Gland Marsupialisation', 'Pre and Post Delivery Care', 'PCOD', 'Gynaecological Problem', 'Obstetrics / Antenatal Care', 'Urinary Tract Infection', 'Pregnancy care and management', 'Laparoscopic Myomectomy', 'Pelvic Floor Dysfunction', 'Laparoscopic Surgery (Obs & Gyn)', 'Pap Smear', 'Treatment of polycystic ovarian syndrome(PCOS)', 'Pregnancy Scan', 'Normal Vaginal Delivery (NVD)', 'PCOD/PCOS Treatment', 'Body Weakness', 'Menopause', 'Menstrual Disorders', 'Gynaecological Endoscopy', 'PCOS', 'Miscarriage', 'Vaginal Discharge', 'Gynae Problems', 'IUD placement', 'Labor and Delivery', 'Vaginal Dryness', 'Fertilization', 'Family Planning', 'Pregnancy Hypertension (Preeclampsia/ Eclampsia)', 'Heavy Periods', 'Pregnant Women Counseling', 'Anesthesia', 'Irregular Menstruation', 'Infertility in Women', 'Hysteroscopy', 'Mirena (Hormonal Iud)', 'Gynae advice', 'Child Birth Education', 'Breast Pain', 'Pregnancy', 'Fertility Treatment', 'Female Sexual Problems', 'Ovarian Cyst Removal', 'Vaginal Infection', 'Breast Examination', 'Abdominal Pain', 'Infertility Evaluation / Treatment', 'Reproduction', 'Normal Delivery', 'Abortion / Medical Termination of Pregnancy (MTP)', 'Abdominal Hysterectomy', 'Pregnancy with PCOD', 'Prenatal Checkup', 'Urinary Tract Infection (Uti)', 'Nasyam', 'Arthritis and Pain Management', 'general physician', 'Copper T Insertion', 'Post Pregnancy Classes', 'Menopause health problems', 'Copper T Insertion & Removal', 'Hysterectomy (Abdominal/Vaginal)', 'Difficulties in conceiving from failure to ovulate', 'Medical Termination Of Pregnancy (Mtp)', 'Painful Periods', 'Advanced Laparoscopic Surgery', 'Menstrual Disorders in Adolescent Girls', 'Irregular Periods', 'Pregnant', 'White Discharge Problem', 'All Blood investigations for women\\men\\children', 'menopause advice', 'Obstetrics Problems', 'General Medical Consultation', 'Other Gynaecological Conditions', 'Nutrition for Pregnant Women']"
Hair Transplant,"['HAIR CARE SERVICES', 'Contact Dermatitis', 'PRP for hair loss', ' Age Spots', 'Clinical Dermatology and Skin Care', 'Adiana System', 'Dermatophytosis', 'Sun Spots', 'ANTIAGEING SOLUTIONS', 'Hair Loss Treatment', 'Laser Surgery', 'Acne Scars', 'skin burn', 'Cysts', 'Fillers', 'Skin Tag Treatment', 'Hair Treatment', 'Skin Care', 'Whiteheads', 'Acne', 'Greying Hair', 'skin disesse', 'Freckles and pigmentation treatment', 'Acne/ Pimple Scars Treatment', 'Skin Allergy', 'Skin Disorder', 'Hair Loss', 'Antiageing', 'PRP ( PLATELET RICH PLASMA ) for Hair Thinning', 'Androgenic alopecia', 'Hair Problems', 'Chemical Peel', 'ringwo', 'Skin Infections', 'Dermaroller', 'Medical Vitiligo Treatment', 'Herpes Infections', 'Allergy Treatment', 'Hair Transplant Surgery', 'Molluscum Removal', 'Skin Disease Treatment', 'pimples', 'Acne / Pimples Treatment', 'PRP for Hairfall', 'Scarred Skin', 'Hair Disease', 'Blackheads', 'Dermatologic Surgery Small', 'Alopecia Universalis', 'Nail Disorders', 'Skin Growths', 'Pimple Free Treatments', 'Alopecia Areta Treatment', 'Thyroid Disorders', 'Chronic Skin Allergy', 'FUT Hair Transplant', 'Oily Hair', 'Hair Removal Treatment', 'Dandruff', 'Seborrheic Dermatitis', 'Sun Burn Treatment', 'Skin Hydration', 'Scalp Treatment', 'Wrinkles', 'Anti Aging Treatment', 'Syphilis Treatment', 'PRP Hair Transplantation', 'Ear & Nose Piercing', 'Nail Surgery', 'Corn Removal', 'Wart Removal and Mole removal', 'hypopigmentation', 'Wart Removal', 'Melasma Treatment', 'Skin Whiting', 'Stretch Marks Treatment', 'Baldness Treatment', 'Body Ache', 'Dermatitis Treatment', 'Fungal Infection', ' And Other Pigmented Lesions', 'Scales on Skin', 'Keratosis', 'Open Pores', 'Hair Mesotherapy', 'Psoriasis Treatment', 'Vitiligo', 'Hair Regrowth', 'Biofibre Hair Implant', 'Skin Allergy Treatment', 'Hardening of the skin', 'Dry Skin', 'hyperpigmentation', 'Tinea Versicolor Treatment', 'Dandruff Treatment', 'Hair Restoration', 'Pigmented Skin', 'Broken Nails', 'Ichthyosis vulgaris', 'Eczema', ""Athlete's Foot"", 'Dermatology Services', 'Removal of Skin Tags', 'PRP for Hair Loss', 'Mole Removal', 'Chemical Peels', 'Hair Fringes', 'Allergies', 'Rashes', 'Bacterial Skin Infection Treatment', 'Skin Pulse Treatment', 'Androgenetic Alopecia treatment', 'Skin Whitening', 'Itching', 'Hair Weaving & Bonding', 'Surgical Dermatology', 'Nail Diseases Treatment', 'Fungal Infection Treatment', 'Pigmentation Treatment', 'Removal of Moles', 'Molluscum Treatment', 'Leucoderma Treatment', 'Non Cancerous Moles', 'Earlobe Repair', 'Fractional Skin Rejuvenation', 'Skin Tags Removal', 'Skin Treatment', 'Cosmetic Treatments', 'Atopic Dermatitis Treatment', 'Skin Pigmentation', 'Laser Resurfacing', 'Ear Repair', 'Baldness', 'Scar Treatment', 'Salicyclic Peel', 'Psoriasis', 'Hyper Pigmentation Treatment', 'Skin Rash Treatment', 'Photodermatitis', 'Hair Patch', 'Acne Treatment', 'dandruff', 'Hair Transplant', 'Skin Conditions', 'All Modern Skin Treatment', 'Laser Hair Removal - Face', 'Female Hair Loss', 'skin checks', 'FUE Hair Transplant', 'Mole Excission', 'hair and nails treatment', 'Dull Skin', 'Warts', 'PRP Treatment', 'Rosacea']"
Hand Surgery,[]
Head And Neck Surgery,[]
Health Psychology,[]
Hematologic Oncology,"['Chronic Myeloid Leukemia', ' Stem Cells)', 'Oral Cancer Treatment', 'Lung Cancer', ' Growth Factors', 'Haematology', 'Lung Cancer Treatment', 'Cancer Treatment', 'Polycythemia Vera', 'Prostate Cancer', 'Breast Cancer', 'Hormone Therapy For Breast Cancer', 'Blood Disorders', 'Acute Myeloid Leukemia', 'Oncologic Emergencies', 'Leukemia', 'Chemotherapy', 'PICC Line Insertion', 'Sickle Cell Disorders and Hemoglobinopathies', 'Breast Cancer Management', 'blood and marrow disorders', 'Colorectal carcinoma', 'Chemotherapy of Haematological Malignancies', 'Tumors', 'Cancer Screening', 'Hormone Therapy For Prostate Cancer', 'Tumors And Cysts', 'General Haematology including problems with Blood Counts', 'Advanced Therapies (Ozone', 'Benign Tumors', 'Blood Transfusion', 'Cholangiocarcinoma', 'Liver cancer Treatment']"
Hematology,[]
Homecare Physiotherapy,[]
Homeopathy,[]
Immunodermatology,[]
Infertility,[]
Integrated Medicine,[]
Internal Medicine,"['TB', 'Diabetes Renal Failure', 'Colour Doppler', 'Thyroid Disorder Treatment', 'Swelling', 'Diabetologist - Cardiologist', 'Thyroidectomy', 'Elephantiasis', 'Iodine Deficiency Treatment', 'Dengue Fever Treatment', 'Well Woman Healthcheck', 'Sugar Level', 'Sugar Level Check', 'Blood Pressure Changes', ' Thyroid swelling/goiter', 'Swelling Of Stomach', 'Type 1 Diabetes', 'Physcian', 'Preventive Medicine', 'Thyroid Treatment', 'Fever', 'Trouble Swallowing', 'Numbness and tingling', 'Cramping', 'Fever Treatment', 'Colds', 'Food Poison', 'Back Pain Treatment', 'Light Headedness', 'Proctoscopy', 'Pneumonia', 'Allergic Diseases Treatment', 'Chest Pain', 'Viral Fever Treatment', 'Pre and Post operative conditions', 'Numbness', 'Stuffy Nose', 'Annual health checkup', 'Diabetes Treatment', 'Travel Vaccination and Consultation', 'managing acute medical conditions', 'Consultation', 'Dizziness', 'Thyroid Disorders', 'Diabetes Counselling', 'Wellness checkup', 'Typhoid Fever Treatment', 'hba1c', 'Diet Counselling', 'Gastric troubles', 'Low Platelets', 'Body Weakness', 'Obsessive Compulsive Disorder (OCD) Treatment', 'Food Poisoning', 'Typhoid fever', 'Wheezing', 'Problems with Smell', 'Constipation', 'Metabolic Illness', 'Fasting blood sugar', 'Diarrhoea', 'Restless Leg Syndrome', 'Acute Diarrhea Treatment', 'Body Ache', 'Thyroid disorder - Hypothyroidism and Hyperthyroidism ', 'Dengue', 'Gestational Diabetes Management', 'Type 2 Diabetes Treatment', 'Flu', 'Outpatient treatment', 'Diabetic Ulcer Treatment', 'Vaccination/ Immunization', 'Diabetes Management', 'Cold Sores', 'health checkup general', 'obesity management', 'Measles Treatment', 'Coughing Up Blood', 'Insulin Treatment', 'Gastroenteritis Treatment', 'Chickenpox', 'Typhoid', 'Diabetes', 'Diabetic Neuropathy', 'Persistent Cough', 'Diabetes in Children', 'Infestation', 'Anaemia & blood disorders', 'Laryngitis', 'Diabetes complications', 'Hyperlipidaemia', 'Stomach pain and stomach upset', 'Muscle Cramps', 'kidney and gall bladder stones', 'Bronchiolitis Treatment', 'Throat infection', 'Thyroid consultant', 'Jaundice', 'Ladies Problems', 'Stomach Pain', 'Swelling Of Legs', 'Fatigue', 'Type 1 Diabetes Treatment', 'Swollen Lymph Nodes', 'Loose Motion', 'Men and Women Wellness Screening', 'High cholesterol', 'Respiratory tract infection']"
Intervention Cardiology,[]
Interventional Cardiology,"['Acute Myocardial Infarction', 'Hypertension', 'Pain in Left part of Chest', 'Echo (pediatric & adult)', 'Treadmill Test - TMT', 'Heart Care', 'Giddiness', 'Hypertension Treatment', 'Cardiologia Clínica', 'Chest Pain', 'Cardiac Valve Repair', 'Peripheral Angioplasty', 'Pacemaker Implantation', 'Heart Attack', 'Echocardiography', 'Aortic Valve Disease', 'Low Blood Pressure', 'Atrial Fibrillation', 'Cardiovascular Emergencies', 'Chest Pain During Exercise', 'Carotid Angioplasty And Stenting', 'Coronary Artery Disease', 'Dilated Cardiomyopathy', 'Irregular Heartbeat', 'Cardiovascular Conditions', 'Cardiac checkup - General', 'Cardioversion', 'Cardiac Catheterisation', 'Reconstructive Middle Ear Surgery', 'Hypertrophic Cardiomyopathy', '2D - Echocardiography (2D-Echo)', 'Blalock–Thomas–Taussig Shunt', 'Cardiac Invasive Procedures', 'Angiogram', 'Non-Invasive Cardiology', 'Holter Monitoring', 'Hole in the Heart', 'Cardiac Diseases', 'Electrocardiography (ECG)', 'Blocked Blood Vessels', 'Stress Echocardiography', 'Coronary Angioplasty / Bypass Surgery', 'Cardiac Ablation', 'Cardiography', 'Heart Conditions', 'Angioplasty and Stenting', 'Coronary Angiography', 'Mitral/Heart Valve Replacement', 'Open Heart Surgery', 'Cardiac Rehabilitation', 'Angina', 'Angiopathy', 'Cardiac Procedure', 'ASD / VSD Device Closure', 'Coronary Angiogram', 'Cardiovascular Disease Prevention', 'Preventive Health Check Ups', 'BP Monitoring']"
Laryngology,[]
Liposuction,[]
Low Vision Speciality,[]
Naturopathy,[]
Nephrologist Renal Speciality,"['Dialysis / Haemodialysis', 'Frequent Urination', 'Electrolyte Disorders', 'Chronic Kidney Disease ( CKD )', 'Kidney Transplant', 'Kidney Disease Treatment', 'Kidney Disease']"
Neuro Rehablitation,[]
Neuro Oncology,[]
Neuroendocrinology,[]
Neurointensive Care,[]
Neurophysiology,[]
Neuropsychiatry,"['Anxiety And Depression', 'Loss of Interest', 'Bipolar Disorder', 'Depression Treatment', 'Mental health', 'Neuropsychological diagnosis', ' Strange Behavior', 'Alcohol De-addiction Treatment', 'Difficulty Concentrating', 'Memory Improvement', ' BIPOLAR', 'Mania', 'Anger Management', 'Anxiety Disorders Treatment', ' stress and anxiety', 'Personality Assessment', 'Early Parenting Issues', 'Abnormal Behavior', ' Unusual', 'Adult Counselling', 'Drug Abuse', 'Relationship Counselling', 'Panic', 'Concentration Problems', 'Attention deficit disorder', ' MANIA', 'Grief Counselling', 'SCHIZOPHRENIA', 'Unexplained Physical Symptoms', 'Anger Control', 'Nicotine/Tobacco (Smoking) De-addiction Treatment', 'Behaviour & Thought Problems', 'GAMBLING ADDICTION', 'Sleep Disorder Treatment', ' DEPRESSION', 'Complex Trauma', 'Individual therapy', 'DE-Addiction (Alcohol and Other Drugs)', 'Panic Disorder Treatment', 'Assessment and treatment of problems related to disturbing thoughts', 'Drug Abuse & DeAddiction Therapy', 'Bipolar Disorder Treatment', 'Schizophrenia Treatment', 'Emotional Outbursts', 'Patient Counselling', 'Affective and Emotional Difficulties', 'Stress Management', 'Schizophrenia', 'MENTAL RETARDATION/ BEHAVIORAL PROBLEMS', 'Child and Adolescent Problems', 'DeAddiction Counselling', 'Eating Disorders', 'Post Traumatic Stress Disorder (PTSD)', 'De-Addiction', 'Psychosexual Problems', 'Counselling and Psychotherapy', 'Old Age Psychiatric and Behavioural Problems Treatment', 'Abnormal', 'Psychiatric Counselling', 'Suicidal Behavior', 'Mood Disorders', 'Low Confidence', 'Assessment and treatment of problems related to low self-esteem', ' OCD', 'Stress Management Counselling', ' ANXIETY', 'sleep therapy', 'Phobia Counseling / Treatment', 'OCD Treatment', ' PANIC ATTACKS', 'Premarital Counseling']"
Neuropsychology,[]
Neurosurgery,"['Nerve Repair', 'Brain Tumor', 'All other neurological disorders including movement problems', 'Spine Surgery', 'Giddiness', 'Stroke', 'Epilepsy surgery', 'Nerve and Muscle Disorders', 'Micro Endoscopic Discectomy', 'Lumbar Spinal Stenosis', 'Spinal Fusion', 'Neurological Problems', 'Traumatic Brain Injury (TBI) Treatment', 'Sciatica Pain Treatment', ' stroke and pain', 'Brain Suite', 'Headache Management', 'Epilepsy Surgery', 'Neuro-Oncological Surgery', 'Trigeminal Neuralgia', 'Peripheral Neuro surgery', 'Brain & Spine Tumours', 'Nerve Graft', 'Headache', 'neurological disorders', 'Migraine Treatment', 'Spine', ""Parkinson's Disease Treatment"", 'Spinal Surgery', 'Brain infection', 'Craniotomy', 'Sacrectomy', 'DM-Neurology', 'Lumbar Puncture', 'Spinal Truma']"
Nuclear Cardiology,[]
Nutritional Toxicology,[]
Ot For Mentally Challenged,[]
Obesity,[]
